"id","image_url"
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_512x.jpg?v=1738911926
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_1600x.jpg?v=1738911926
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0376_1_1600x.jpg?v=1738911926
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0381_1_1600x.jpg?v=1737628346
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0379_1_1600x.jpg?v=1737628346
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0395_1600x.jpg?v=1737628346
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0377_1_1600x.jpg?v=1737628346
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0384_1_1600x.jpg?v=1737628346
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0376_1.jpg?v=1738911926&quality=60&width=512
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_111ad1b5-c2e7-4b36-ac41-1ce468423186_512x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_111ad1b5-c2e7-4b36-ac41-1ce468423186_1600x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB1_d352daa2-6abf-4887-8bef-3c6fa9725700_1600x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WBE6_bd2a5273-8356-4533-b620-11a4c20cfd01_1600x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB2_21fdf098-41be-4917-81b0-fc32f1039986_1600x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB3_237f9a4c-640f-4e62-8b0c-bfeddd70fe04_1600x.jpg?v=1739277317
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB5_cd5f2937-4678-4bbc-88e7-fcc214b7d291_1600x.jpg?v=1739268311
